"Roofit Industries Limited",RATNABLDG,ROOFITIND,1999-09-15
"Alembic Limited",ALMBICHEM,ALEMBICLTD,1999-09-22
"HCL Infosystems Limited",HCL-HP,HCL-INSYS,2000-04-12
"Chennai Petroleum Corporation Limited",MADRASREFN,CHENNPETRO,2000-08-09
"Netvista Information Technology Limited",KRAFTIND,NETVISTAIT,2000-08-09
"Wartsila India Limited",WARTDEISEL,WARTSILA,2000-09-20
"Ambuja Cement Rajasthan Limited",DLFCEMENT,AMBUJARAJN,2001-08-20
"NuCent Finance Limited",PRESSMAN,NUCENTFIN,2001-08-20
"Saregama India Limited",GRAMOPHONE,SAREGAMA,2001-08-20
"Schaeffler India Limited",FAGPRECISN,FAGBEARING,2001-08-20
"Seamec Limited",PEERLESHIP,SEAMECLTD,2001-08-20
"Vatsa Music Limited",BABABUSERV,VATSMUSC,2001-08-20
"Ausom Enterprise Limited",COREBIO,COREEMBLG,2001-10-15
"TVS Motor Company Limited",TVS-SUZUKI,TVSMOTOR,2001-12-03
"Madura Coats Limited",COATVIYELA,MADURACOAT,2002-11-29
"Agro Tech Foods Limited",ITCAGRO,ATFL,2002-12-31
"Graphite India Limited",CARBEVFLOW,GRAPHITE,2003-01-13
"Hinduja TMT Limited",HINDUJAFIN,HTMT,2003-01-13
"Pharmacia Healthcare Limited",ABBOTTLAB,PHARMACIA,2003-03-24
"Kotak Mahindra Bank Limited",KOTAKMAH,KOTAKBANK,2003-04-21
"GE Power India Limited",ABBALPO,APIL,2003-05-19
"PSL Limited",PSLHOLD,PSL,2003-05-19
"Sanofi India Limited",HOECHST,AVENTIS,2003-05-19
"Tata Teleservices (Maharashtra) Limited",HUGHESTELE,TATATELSER,2003-06-25
"Sterling Biotech Limited",STERLINTEA,STERLINBIO,2003-07-09
"e-Serve International Limited",CITICORSEC,E-SERVEINT,2003-07-09
"GlaxoSmithKline Consumer Healthcare Limited",SMITKLBECH,GSKCONS,2003-07-29
"iGate Global Solutions Limited",MASCOT,IGS,2003-08-07
"ATN International Limited",ARIHANTCRE,ATNINT,2003-09-17
"Infomedia India Limited",TATAPRESS,TATAINFO,2003-09-17
"Venky's (India) Limited",WESTHATCH,VENKEYS,2003-09-17
"Jubilant Life Sciences Limited",VAMORGANIC,JUBILANT,2003-09-30
"Automotive Stampings and Assemblies Limited",JBMT,ASAL,2003-10-14
"Tata Motors Limited",TELCO,TATAMOTORS,2003-12-26
"Shiva Texyarn Limited",ANAMALFIN,SHIVTEX,2004-01-22
"Tata Steel Long Products Limited",IPITATASPO,TATASPONGE,2004-02-11
"Zensar Technologies Limited",FUJITSICIM,ZENSARTECH,2004-03-04
"BSEL Infrastructure Realty Limited",BSELINFO,BSELINFRA,2004-03-12
"Panasonic AVC Networks India Company Limited.",MTAL,PAVCI,2004-03-12
"Reliance Infrastructure Limited",BSES,REL,2004-03-12
"Micro Inks Limited",HINDINKS,MICRO,2004-03-26
"Atcom Technologies Limited",ATCOIND,ATCOM,2004-04-29
"Trent Limited",LAKME,TRENT,2004-06-07
"3M India Limited",BIRLA3M,3MINDIA,2004-06-15
"MphasiS Limited",BFLSOFTWAR,MPHASISBFL,2004-06-15
"Procter & Gamble Hygiene and Health Care Limited",P&G,PGHH,2004-07-07
"DIC India Limited",COATESIND,DICIND,2004-09-06
"Greaves Cotton Limited",GREAVES,GREAVESCOT,2004-09-09
"JD Orgochem Limited",JAYSYNTDYE,JDORGO,2004-09-13
"OCL India Limited",ORISSACEM,OCL,2004-09-15
"Kinetic Motor Company Limited",KINHONDA,KINETICMOT,2004-09-20
"Videocon Industries Limited",VDOLEASE,VIDEOIND,2004-09-21
"Ador Welding Limited",ADVANIORLI,ADORWELD,2004-09-27
"Carol Info Services Limited",WOCKLIFE,CAROLINFO,2004-09-27
"Peninsula Land Limited",MORARJESPG,MORAREALTY,2004-10-15
"SKF India Limited",SKFBEARING,SKFINDIA,2004-10-20
"Usha Martin Limited",USHABEL,USHAMART,2004-10-20
"AGC Networks Limited",TATATELECM,AVAYAGCL,2004-11-01
"Greenply Industries Limited",MITTALLAMI,GREENPLY,2004-12-09
"Lotte India Corporation Limited",PARRYSCON,LOTTEINDIA,2004-12-17
"Crest Animation Studios Limited",CRESTCOMM,CRESTANI,2005-01-04
