TCP_ID,START_DATE,END_DATE,FACTOR,FACTOR_FOR
TCP_20MICRONS,31-12-2010,04-08-2011,0.461356139,EQ
TCP_20MICRONS,31-12-2010,04-08-2011,0.5,FO
TCP_20MICRONS,04-08-2011,26-07-2012,0.467823748,EQ
TCP_20MICRONS,04-08-2011,26-07-2012,0.5,FO
TCP_20MICRONS,26-07-2012,28-01-2013,0.472207313,EQ
TCP_20MICRONS,26-07-2012,28-01-2013,0.5,FO
TCP_20MICRONS,28-01-2013,19-09-2013,0.944414626,EQ
TCP_20MICRONS,28-01-2013,19-09-2013,1,FO
TCP_20MICRONS,19-09-2013,05-12-2017,0.959973351,EQ
TCP_20MICRONS,19-09-2013,05-12-2017,1,FO
TCP_20MICRONS,05-12-2017,10-09-2018,0.966904567,EQ
TCP_20MICRONS,05-12-2017,10-09-2018,1,FO
TCP_20MICRONS,10-09-2018,19-03-2020,0.973969631,EQ
TCP_20MICRONS,10-09-2018,19-03-2020,1,FO
TCP_20MICRONS,19-03-2020,01-01-2095,1,EQ
TCP_20MICRONS,19-03-2020,01-01-2095,1,FO
TCP_21STCENMGM,31-12-2010,04-07-2018,0.932523617,EQ
TCP_21STCENMGM,31-12-2010,04-07-2018,0.932523617,FO
TCP_21STCENMGM,04-07-2018,01-01-2095,1,EQ
TCP_21STCENMGM,04-07-2018,01-01-2095,1,FO
TCP_5PAISA,31-12-2010,28-05-2019,0.59469697,EQ
TCP_5PAISA,31-12-2010,28-05-2019,0.59469697,FO
TCP_5PAISA,28-05-2019,01-01-2095,1,EQ
TCP_5PAISA,28-05-2019,01-01-2095,1,FO
TCP_63MOONS,31-12-2010,16-08-2017,0.86843497,EQ
TCP_63MOONS,31-12-2010,16-08-2017,1,FO
TCP_63MOONS,16-08-2017,19-09-2017,0.897119858,EQ
TCP_63MOONS,16-08-2017,19-09-2017,1,FO
TCP_63MOONS,19-09-2017,18-09-2018,0.91865935,EQ
TCP_63MOONS,19-09-2017,18-09-2018,1,FO
TCP_63MOONS,18-09-2018,09-09-2019,0.940984,EQ
TCP_63MOONS,18-09-2018,09-09-2019,1,FO
TCP_63MOONS,09-09-2019,01-12-2020,0.958305381,EQ
TCP_63MOONS,09-09-2019,01-12-2020,1,FO
TCP_63MOONS,01-12-2020,08-09-2021,0.978925184,EQ
TCP_63MOONS,01-12-2020,08-09-2021,1,FO
TCP_63MOONS,08-09-2021,01-01-2095,1,EQ
TCP_63MOONS,08-09-2021,01-01-2095,1,FO
TCP_8KMILES,31-12-2010,10-10-2016,0.374015877,EQ
TCP_8KMILES,31-12-2010,10-10-2016,0.375,FO
TCP_8KMILES,10-10-2016,10-10-2016,0.748031754,EQ
TCP_8KMILES,10-10-2016,10-10-2016,0.75,FO
TCP_8KMILES,10-10-2016,25-09-2017,0.997375672,EQ
TCP_8KMILES,10-10-2016,25-09-2017,1,FO
TCP_8KMILES,25-09-2017,01-01-2095,1,EQ
TCP_8KMILES,25-09-2017,01-01-2095,1,FO
TCP_AAATECH,31-12-2010,13-09-2022,0.444444444,EQ
TCP_AAATECH,31-12-2010,13-09-2022,0.444444444,FO
TCP_AAATECH,13-09-2022,14-09-2022,0.666666667,EQ
TCP_AAATECH,13-09-2022,14-09-2022,0.666666667,FO
TCP_AAATECH,14-09-2022,01-01-2095,1,EQ
TCP_AAATECH,14-09-2022,01-01-2095,1,FO
TCP_AAKASH,31-12-2010,03-02-2022,0.1,EQ
TCP_AAKASH,31-12-2010,03-02-2022,0.1,FO
TCP_AAKASH,03-02-2022,01-01-2095,1,EQ
TCP_AAKASH,03-02-2022,01-01-2095,1,FO
TCP_AARTIDRUGS,31-12-2010,14-07-2011,0.112705803,EQ
TCP_AARTIDRUGS,31-12-2010,14-07-2011,0.125,FO
TCP_AARTIDRUGS,14-07-2011,06-02-2012,0.112705803,EQ
TCP_AARTIDRUGS,14-07-2011,06-02-2012,0.125,FO
TCP_AARTIDRUGS,06-02-2012,17-08-2012,0.112705803,EQ
TCP_AARTIDRUGS,06-02-2012,17-08-2012,0.125,FO
TCP_AARTIDRUGS,17-08-2012,05-11-2012,0.112705803,EQ
TCP_AARTIDRUGS,17-08-2012,05-11-2012,0.125,FO
TCP_AARTIDRUGS,05-11-2012,11-02-2013,0.112705803,EQ
TCP_AARTIDRUGS,05-11-2012,11-02-2013,0.125,FO
TCP_AARTIDRUGS,11-02-2013,24-07-2013,0.112705803,EQ
TCP_AARTIDRUGS,11-02-2013,24-07-2013,0.125,FO
TCP_AARTIDRUGS,24-07-2013,19-11-2013,0.114563719,EQ
TCP_AARTIDRUGS,24-07-2013,19-11-2013,0.125,FO
TCP_AARTIDRUGS,19-11-2013,05-02-2014,0.116232933,EQ
TCP_AARTIDRUGS,19-11-2013,05-02-2014,0.125,FO
TCP_AARTIDRUGS,05-02-2014,02-07-2014,0.118562769,EQ
TCP_AARTIDRUGS,05-02-2014,02-07-2014,0.125,FO
TCP_AARTIDRUGS,02-07-2014,19-11-2014,0.119773379,EQ
TCP_AARTIDRUGS,02-07-2014,19-11-2014,0.125,FO
TCP_AARTIDRUGS,19-11-2014,04-02-2015,0.1204743,EQ
TCP_AARTIDRUGS,19-11-2014,04-02-2015,0.125,FO
TCP_AARTIDRUGS,04-02-2015,24-03-2015,0.120966072,EQ
TCP_AARTIDRUGS,04-02-2015,24-03-2015,0.125,FO
TCP_AARTIDRUGS,24-03-2015,05-08-2015,0.241932144,EQ
TCP_AARTIDRUGS,24-03-2015,05-08-2015,0.25,FO
TCP_AARTIDRUGS,05-08-2015,10-11-2015,0.243043114,EQ
TCP_AARTIDRUGS,05-08-2015,10-11-2015,0.25,FO
TCP_AARTIDRUGS,10-11-2015,12-02-2016,0.244088611,EQ
TCP_AARTIDRUGS,10-11-2015,12-02-2016,0.25,FO
TCP_AARTIDRUGS,12-02-2016,22-03-2016,0.244875148,EQ
TCP_AARTIDRUGS,12-02-2016,22-03-2016,0.25,FO
TCP_AARTIDRUGS,22-03-2016,09-08-2017,0.246417992,EQ
TCP_AARTIDRUGS,22-03-2016,09-08-2017,0.25,FO
TCP_AARTIDRUGS,09-08-2017,01-08-2018,0.246855175,EQ
TCP_AARTIDRUGS,09-08-2017,01-08-2018,0.25,FO
TCP_AARTIDRUGS,01-08-2018,26-07-2019,0.247297211,EQ
TCP_AARTIDRUGS,01-08-2018,26-07-2019,0.25,FO
TCP_AARTIDRUGS,26-07-2019,17-02-2020,0.247808949,EQ
TCP_AARTIDRUGS,26-07-2019,17-02-2020,0.25,FO
TCP_AARTIDRUGS,17-02-2020,30-09-2020,0.248569041,EQ
TCP_AARTIDRUGS,17-02-2020,30-09-2020,0.25,FO
TCP_AARTIDRUGS,30-09-2020,03-11-2020,0.994276162,EQ
TCP_AARTIDRUGS,30-09-2020,03-11-2020,1,FO
TCP_AARTIDRUGS,03-11-2020,09-02-2022,0.998085941,EQ
TCP_AARTIDRUGS,03-11-2020,09-02-2022,1,FO
TCP_AARTIDRUGS,09-02-2022,01-01-2095,1,EQ
TCP_AARTIDRUGS,09-02-2022,01-01-2095,1,FO
TCP_AARTIIND,31-12-2010,16-09-2011,0.200617644,EQ
TCP_AARTIIND,31-12-2010,16-09-2011,0.25,FO
TCP_AARTIIND,16-09-2011,06-02-2012,0.205777562,EQ
TCP_AARTIIND,16-09-2011,06-02-2012,0.25,FO
TCP_AARTIIND,06-02-2012,02-08-2012,0.212941272,EQ
TCP_AARTIIND,06-02-2012,02-08-2012,0.25,FO
TCP_AARTIIND,02-08-2012,05-11-2012,0.217281108,EQ
TCP_AARTIIND,02-08-2012,05-11-2012,0.25,FO
TCP_AARTIIND,05-11-2012,11-02-2013,0.22090246,EQ
TCP_AARTIIND,05-11-2012,11-02-2013,0.25,FO
TCP_AARTIIND,11-02-2013,12-09-2013,0.223979096,EQ
TCP_AARTIIND,11-02-2013,12-09-2013,0.25,FO
TCP_AARTIIND,12-09-2013,19-11-2013,0.228087296,EQ
TCP_AARTIIND,12-09-2013,19-11-2013,0.25,FO
TCP_AARTIIND,19-11-2013,06-02-2014,0.232625702,EQ
TCP_AARTIIND,19-11-2013,06-02-2014,0.25,FO
TCP_AARTIIND,06-02-2014,15-09-2014,0.235765897,EQ
TCP_AARTIIND,06-02-2014,15-09-2014,0.25,FO
TCP_AARTIIND,15-09-2014,13-11-2014,0.236953834,EQ
TCP_AARTIIND,15-09-2014,13-11-2014,0.25,FO
TCP_AARTIIND,13-11-2014,12-02-2015,0.238740517,EQ
TCP_AARTIIND,13-11-2014,12-02-2015,0.25,FO
TCP_AARTIIND,12-02-2015,15-09-2015,0.239974744,EQ
TCP_AARTIIND,12-02-2015,15-09-2015,0.25,FO
TCP_AARTIIND,15-09-2015,09-11-2015,0.240986685,EQ
TCP_AARTIIND,15-09-2015,09-11-2015,0.25,FO
TCP_AARTIIND,09-11-2015,12-02-2016,0.242402866,EQ
TCP_AARTIIND,09-11-2015,12-02-2016,0.25,FO
TCP_AARTIIND,12-02-2016,22-03-2016,0.243436126,EQ
TCP_AARTIIND,12-02-2016,22-03-2016,0.25,FO
TCP_AARTIIND,22-03-2016,18-09-2017,0.245243181,EQ
TCP_AARTIIND,22-03-2016,18-09-2017,0.25,FO
TCP_AARTIIND,18-09-2017,11-09-2018,0.245522708,EQ
TCP_AARTIIND,18-09-2017,11-09-2018,0.25,FO
TCP_AARTIIND,11-09-2018,12-02-2019,0.245707277,EQ
TCP_AARTIIND,11-09-2018,12-02-2019,0.25,FO
TCP_AARTIIND,12-02-2019,27-08-2019,0.246346453,EQ
TCP_AARTIIND,12-02-2019,27-08-2019,0.25,FO
TCP_AARTIIND,27-08-2019,27-09-2019,0.247495802,EQ
TCP_AARTIIND,27-08-2019,27-09-2019,0.25,FO
TCP_AARTIIND,27-09-2019,24-02-2020,0.494991603,EQ
TCP_AARTIIND,27-09-2019,24-02-2020,0.5,FO
TCP_AARTIIND,24-02-2020,10-09-2020,0.496183722,EQ
TCP_AARTIIND,24-02-2020,10-09-2020,0.5,FO
TCP_AARTIIND,10-09-2020,19-11-2020,0.496674386,EQ
TCP_AARTIIND,10-09-2020,19-11-2020,0.5,FO
TCP_AARTIIND,19-11-2020,22-06-2021,0.497325648,EQ
TCP_AARTIIND,19-11-2020,22-06-2021,0.5,FO
TCP_AARTIIND,22-06-2021,20-09-2021,0.994651296,EQ
TCP_AARTIIND,22-06-2021,20-09-2021,1,FO
TCP_AARTIIND,20-09-2021,10-11-2021,0.996265029,EQ
TCP_AARTIIND,20-09-2021,10-11-2021,1,FO
TCP_AARTIIND,10-11-2021,15-02-2022,0.997310593,EQ
TCP_AARTIIND,10-11-2021,15-02-2022,1,FO
TCP_AARTIIND,15-02-2022,16-09-2022,0.998346652,EQ
TCP_AARTIIND,15-02-2022,16-09-2022,1,FO
TCP_AARTIIND,16-09-2022,01-01-2095,1,EQ
TCP_AARTIIND,16-09-2022,01-01-2095,1,FO
TCP_AARTISURF,31-12-2010,02-08-2021,0.99798204,EQ
TCP_AARTISURF,31-12-2010,02-08-2021,1,FO
TCP_AARTISURF,02-08-2021,01-01-2095,1,EQ
TCP_AARTISURF,02-08-2021,01-01-2095,1,FO
TCP_AARVI,31-12-2010,15-07-2021,0.979757085,EQ
TCP_AARVI,31-12-2010,15-07-2021,1,FO
TCP_AARVI,15-07-2021,01-01-2095,1,EQ
TCP_AARVI,15-07-2021,01-01-2095,1,FO
TCP_ABB,31-12-2010,02-05-2012,0.961195787,EQ
TCP_ABB,31-12-2010,02-05-2012,1,FO
TCP_ABB,02-05-2012,30-04-2013,0.964756651,EQ
TCP_ABB,02-05-2012,30-04-2013,1,FO
TCP_ABB,30-04-2013,25-04-2014,0.970444515,EQ
TCP_ABB,30-04-2013,25-04-2014,1,FO
TCP_ABB,25-04-2014,28-04-2015,0.974005344,EQ
TCP_ABB,25-04-2014,28-04-2015,1,FO
TCP_ABB,28-04-2015,13-04-2016,0.976747351,EQ
TCP_ABB,28-04-2015,13-04-2016,1,FO
TCP_ABB,13-04-2016,28-04-2017,0.979406731,EQ
TCP_ABB,13-04-2016,28-04-2017,1,FO
TCP_ABB,28-04-2017,27-04-2018,0.982199053,EQ
TCP_ABB,28-04-2017,27-04-2018,1,FO
TCP_ABB,27-04-2018,26-04-2019,0.985430333,EQ
TCP_ABB,27-04-2018,26-04-2019,1,FO
TCP_ABB,26-04-2019,16-07-2020,0.988605726,EQ
TCP_ABB,26-04-2019,16-07-2020,1,FO
TCP_ABB,16-07-2020,19-04-2021,0.993872438,EQ
TCP_ABB,16-07-2020,19-04-2021,1,FO
TCP_ABB,19-04-2021,27-04-2022,0.9975094,EQ
TCP_ABB,19-04-2021,27-04-2022,1,FO
TCP_ABB,27-04-2022,01-01-2095,1,EQ
TCP_ABB,27-04-2022,01-01-2095,1,FO
TCP_ABBOTINDIA,31-12-2010,04-05-2012,0.889818675,EQ
TCP_ABBOTINDIA,31-12-2010,04-05-2012,1,FO
TCP_ABBOTINDIA,04-05-2012,16-04-2013,0.899354951,EQ
TCP_ABBOTINDIA,04-05-2012,16-04-2013,1,FO
TCP_ABBOTINDIA,16-04-2013,23-07-2014,0.91049369,EQ
TCP_ABBOTINDIA,16-04-2013,23-07-2014,1,FO
TCP_ABBOTINDIA,23-07-2014,22-07-2015,0.920473368,EQ
TCP_ABBOTINDIA,23-07-2014,22-07-2015,1,FO
TCP_ABBOTINDIA,22-07-2015,08-07-2016,0.927071438,EQ
TCP_ABBOTINDIA,22-07-2015,08-07-2016,1,FO
TCP_ABBOTINDIA,08-07-2016,10-07-2017,0.933900406,EQ
TCP_ABBOTINDIA,08-07-2016,10-07-2017,1,FO
TCP_ABBOTINDIA,10-07-2017,10-07-2018,0.942690574,EQ
TCP_ABBOTINDIA,10-07-2017,10-07-2018,1,FO
TCP_ABBOTINDIA,10-07-2018,13-08-2019,0.949996193,EQ
TCP_ABBOTINDIA,10-07-2018,13-08-2019,1,FO
TCP_ABBOTINDIA,13-08-2019,28-08-2020,0.956869611,EQ
TCP_ABBOTINDIA,13-08-2019,28-08-2020,1,FO
TCP_ABBOTINDIA,28-08-2020,19-07-2021,0.971095955,EQ
TCP_ABBOTINDIA,28-08-2020,19-07-2021,1,FO
TCP_ABBOTINDIA,19-07-2021,02-08-2022,0.986613673,EQ
TCP_ABBOTINDIA,19-07-2021,02-08-2022,1,FO
TCP_ABBOTINDIA,02-08-2022,01-01-2095,1,EQ
TCP_ABBOTINDIA,02-08-2022,01-01-2095,1,FO
TCP_ABFRL,31-12-2010,30-06-2020,0.977492607,EQ
TCP_ABFRL,31-12-2010,30-06-2020,0.977492607,FO
TCP_ABFRL,30-06-2020,01-01-2095,1,EQ
TCP_ABFRL,30-06-2020,01-01-2095,1,FO
TCP_ABIRLANUVO,31-12-2010,16-08-2016,1,EQ
TCP_ABIRLANUVO,31-12-2010,16-08-2016,1,FO
TCP_ABIRLANUVO,16-08-2016,01-01-2095,1,EQ
TCP_ABIRLANUVO,16-08-2016,01-01-2095,1,FO
TCP_ABSLAMC,31-12-2010,03-11-2021,1,FO
TCP_ABSLAMC,03-11-2021,13-07-2022,0.986283705,EQ
TCP_ABSLAMC,03-11-2021,13-07-2022,1,FO
TCP_ABSLAMC,13-07-2022,01-01-2095,1,EQ
TCP_ABSLAMC,13-07-2022,01-01-2095,1,FO
TCP_ACC,31-12-2010,03-08-2011,0.824930601,EQ
TCP_ACC,31-12-2010,03-08-2011,1,FO
TCP_ACC,03-08-2011,12-03-2012,0.834036252,EQ
TCP_ACC,03-08-2011,12-03-2012,1,FO
TCP_ACC,12-03-2012,01-08-2012,0.844928217,EQ
TCP_ACC,12-03-2012,01-08-2012,1,FO
TCP_ACC,01-08-2012,21-03-2013,0.852005746,EQ
TCP_ACC,01-08-2012,21-03-2013,1,FO
TCP_ACC,21-03-2013,30-07-2013,0.866344195,EQ
TCP_ACC,21-03-2013,30-07-2013,1,FO
TCP_ACC,30-07-2013,24-03-2014,0.874396742,EQ
TCP_ACC,30-07-2013,24-03-2014,1,FO
TCP_ACC,24-03-2014,28-07-2014,0.887675356,EQ
TCP_ACC,24-03-2014,28-07-2014,1,FO
TCP_ACC,28-07-2014,12-03-2015,0.897019307,EQ
TCP_ACC,28-07-2014,12-03-2015,1,FO
TCP_ACC,12-03-2015,22-07-2015,0.90753536,EQ
TCP_ACC,12-03-2015,22-07-2015,1,FO
TCP_ACC,22-07-2015,22-02-2016,0.914523242,EQ
TCP_ACC,22-07-2015,22-02-2016,1,FO
TCP_ACC,22-02-2016,02-08-2016,0.918837031,EQ
TCP_ACC,22-02-2016,02-08-2016,1,FO
TCP_ACC,02-08-2016,16-03-2017,0.924860935,EQ
TCP_ACC,02-08-2016,16-03-2017,1,FO
TCP_ACC,16-03-2017,25-07-2017,0.92878427,EQ
TCP_ACC,16-03-2017,25-07-2017,1,FO
TCP_ACC,25-07-2017,17-05-2018,0.934745485,EQ
TCP_ACC,25-07-2017,17-05-2018,1,FO
TCP_ACC,17-05-2018,05-03-2019,0.944790751,EQ
TCP_ACC,17-05-2018,05-03-2019,1,FO
TCP_ACC,05-03-2019,19-05-2020,0.953802858,EQ
TCP_ACC,05-03-2019,19-05-2020,1,FO
TCP_ACC,19-05-2020,30-03-2021,0.965719542,EQ
TCP_ACC,19-05-2020,30-03-2021,1,FO
TCP_ACC,30-03-2021,04-04-2022,0.973035797,EQ
TCP_ACC,30-03-2021,04-04-2022,1,FO
TCP_ACC,04-04-2022,01-01-2095,1,EQ
TCP_ACC,04-04-2022,01-01-2095,1,FO
TCP_ACCELYA,31-12-2010,14-05-2013,0.632113651,EQ
TCP_ACCELYA,31-12-2010,14-05-2013,0.881228885,FO
TCP_ACCELYA,14-05-2013,17-09-2013,0.672209664,EQ
TCP_ACCELYA,14-05-2013,17-09-2013,0.93712669,FO
TCP_ACCELYA,17-09-2013,14-02-2014,0.717309273,EQ
TCP_ACCELYA,17-09-2013,14-02-2014,1,FO
TCP_ACCELYA,14-02-2014,11-09-2014,0.746929752,EQ
TCP_ACCELYA,14-02-2014,11-09-2014,1,FO
TCP_ACCELYA,11-09-2014,06-02-2015,0.770436589,EQ
TCP_ACCELYA,11-09-2014,06-02-2015,1,FO
TCP_ACCELYA,06-02-2015,22-09-2015,0.779540959,EQ
TCP_ACCELYA,06-02-2015,22-09-2015,1,FO
TCP_ACCELYA,22-09-2015,12-02-2016,0.799789828,EQ
TCP_ACCELYA,22-09-2015,12-02-2016,1,FO
TCP_ACCELYA,12-02-2016,26-09-2016,0.813489551,EQ
TCP_ACCELYA,12-02-2016,26-09-2016,1,FO
TCP_ACCELYA,26-09-2016,16-02-2017,0.830559943,EQ
TCP_ACCELYA,26-09-2016,16-02-2017,1,FO
TCP_ACCELYA,16-02-2017,28-09-2017,0.836359207,EQ
TCP_ACCELYA,16-02-2017,28-09-2017,1,FO
TCP_ACCELYA,28-09-2017,14-02-2018,0.859578507,EQ
TCP_ACCELYA,28-09-2017,14-02-2018,1,FO
TCP_ACCELYA,14-02-2018,27-09-2018,0.868194293,EQ
TCP_ACCELYA,14-02-2018,27-09-2018,1,FO
TCP_ACCELYA,27-09-2018,11-02-2019,0.895745084,EQ
TCP_ACCELYA,27-09-2018,11-02-2019,1,FO
TCP_ACCELYA,11-02-2019,10-10-2019,0.912332053,EQ
TCP_ACCELYA,11-02-2019,10-10-2019,1,FO
TCP_ACCELYA,10-10-2019,05-02-2020,0.928597555,EQ
TCP_ACCELYA,10-10-2019,05-02-2020,1,FO
TCP_ACCELYA,05-02-2020,05-02-2021,0.937574283,EQ
TCP_ACCELYA,05-02-2020,05-02-2021,1,FO
TCP_ACCELYA,05-02-2021,21-10-2021,0.971797675,EQ
TCP_ACCELYA,05-02-2021,21-10-2021,1,FO
TCP_ACCELYA,21-10-2021,03-02-2022,0.984458564,EQ
TCP_ACCELYA,21-10-2021,03-02-2022,1,FO
TCP_ACCELYA,03-02-2022,01-01-2095,1,EQ
TCP_ACCELYA,03-02-2022,01-01-2095,1,FO
TCP_ACE,31-12-2010,14-09-2011,0.907757363,EQ
TCP_ACE,31-12-2010,14-09-2011,1,FO
TCP_ACE,14-09-2011,21-09-2012,0.928435207,EQ
TCP_ACE,14-09-2011,21-09-2012,1,FO
TCP_ACE,21-09-2012,14-08-2013,0.935549653,EQ
TCP_ACE,21-09-2012,14-08-2013,1,FO
TCP_ACE,14-08-2013,23-07-2014,0.954740415,EQ
